time_large,time_small,dtchanged,ncalc_ele,ncalc_deut,dt_ele,dt_deut,t_sim,ne,ni,KEtot_ele,KEtot_deut,Ele_pot,Mag_pot,E_tot
0,0,0,0,0,5.0269e-12,3.0161e-10,0,-16777216,16777216,1.1928e+11,1.1911e+11,2.0478e+06,64.867,2.384e+11
1,0,0,60,1,5.0269e-12,3.0161e-10,3.0161e-10,-16777216,16777216,1.1928e+11,1.1911e+11,2.4979e+06,64.87,2.384e+11
1,1,0,120,2,5.0269e-12,3.0161e-10,6.0322e-10,-16777216,16777216,1.1928e+11,1.1911e+11,9.4717e+06,64.743,2.384e+11
1,2,0,180,3,5.0269e-12,3.0161e-10,9.0484e-10,-16777216,16777216,1.1928e+11,1.1911e+11,3.7019e+07,64.216,2.3843e+11
1,3,0,240,4,5.0269e-12,3.0161e-10,1.2064e-09,-16777216,16777216,1.1928e+11,1.1911e+11,1.0635e+08,63.938,2.385e+11
1,4,0,300,5,5.0269e-12,3.0161e-10,1.5081e-09,-16777216,16777216,1.1928e+11,1.1911e+11,2.4647e+08,64.476,2.3864e+11
1,5,0,360,6,5.0269e-12,3.0161e-10,1.8097e-09,-16777216,16777216,1.1927e+11,1.1911e+11,4.3687e+08,63.966,2.3881e+11
1,6,0,420,7,5.0269e-12,3.0161e-10,2.1113e-09,-16777216,16777216,1.1915e+11,1.1911e+11,8.0066e+08,64.875,2.3905e+11
1,7,0,480,8,5.0269e-12,3.0161e-10,2.4129e-09,-16777216,16777216,1.1893e+11,1.1911e+11,1.2292e+09,65.748,2.3927e+11
1,8,0,540,9,5.0269e-12,3.0161e-10,2.7145e-09,-16777216,16777216,1.1864e+11,1.1911e+11,1.6413e+09,65.383,2.3939e+11
1,9,0,600,10,5.0269e-12,3.0161e-10,3.0161e-09,-16777216,16777216,1.1829e+11,1.1911e+11,2.4998e+09,64.81,2.399e+11
2,0,0,660,11,5.0269e-12,3.0161e-10,3.3177e-09,-16777216,16777216,1.1788e+11,1.1911e+11,3.2365e+09,64.525,2.4023e+11
2,1,0,720,12,5.0269e-12,3.0161e-10,3.6193e-09,-16777216,16777216,1.174e+11,1.1911e+11,4.151e+09,64.088,2.4066e+11
2,2,0,780,13,5.0269e-12,3.0161e-10,3.921e-09,-16777216,16777216,1.1683e+11,1.1911e+11,5.0573e+09,64.422,2.4099e+11
2,3,0,840,14,5.0269e-12,3.0161e-10,4.2226e-09,-16777216,16777216,1.1617e+11,1.1911e+11,6.5861e+09,64.569,2.4187e+11
2,4,0,900,15,5.0269e-12,3.0161e-10,4.5242e-09,-16777216,16777216,1.1544e+11,1.1911e+11,8.2133e+09,64.372,2.4277e+11
2,5,0,960,16,5.0269e-12,3.0161e-10,4.8258e-09,-16777216,16777216,1.1465e+11,1.1911e+11,9.1656e+09,63.747,2.4293e+11
2,6,0,1020,17,5.0269e-12,3.0161e-10,5.1274e-09,-16777216,16777216,1.1379e+11,1.1911e+11,1.084e+10,63.09,2.4375e+11
2,7,0,1080,18,5.0269e-12,3.0161e-10,5.429e-09,-16777216,16777216,1.1286e+11,1.1911e+11,1.284e+10,62.733,2.4481e+11
2,8,0,1140,19,5.0269e-12,3.0161e-10,5.7306e-09,-16777216,16777216,1.1187e+11,1.1911e+11,1.4144e+10,62.587,2.4512e+11
2,9,0,1200,20,5.0269e-12,3.0161e-10,6.0322e-09,-16777216,16777216,1.1081e+11,1.1912e+11,1.6315e+10,62.577,2.4624e+11
3,0,0,1260,21,5.0269e-12,3.0161e-10,6.3339e-09,-16777216,16777216,1.0973e+11,1.1912e+11,1.8761e+10,62.151,2.4761e+11
3,1,0,1320,22,5.0269e-12,3.0161e-10,6.6355e-09,-16777216,16777216,1.0861e+11,1.1912e+11,2.073e+10,62.035,2.4846e+11
3,2,0,1380,23,5.0269e-12,3.0161e-10,6.9371e-09,-16777216,16777216,1.0747e+11,1.1912e+11,2.2417e+10,61.975,2.49e+11
3,3,0,1440,24,5.0269e-12,3.0161e-10,7.2387e-09,-16777216,16777216,1.0631e+11,1.1912e+11,2.4388e+10,61.756,2.4982e+11
3,4,0,1500,25,5.0269e-12,3.0161e-10,7.5403e-09,-16777216,16777216,1.0516e+11,1.1912e+11,2.6511e+10,61.191,2.508e+11
3,5,0,1560,26,5.0269e-12,3.0161e-10,7.8419e-09,-16777216,16777216,1.0403e+11,1.1913e+11,2.874e+10,61.154,2.5189e+11
3,6,0,1620,27,5.0269e-12,3.0161e-10,8.1435e-09,-16777216,16777216,1.0292e+11,1.1913e+11,3.0981e+10,61.534,2.5303e+11
3,7,0,1680,28,5.0269e-12,3.0161e-10,8.4451e-09,-16777216,16777216,1.0186e+11,1.1913e+11,3.3267e+10,62.169,2.5425e+11
3,8,0,1740,29,5.0269e-12,3.0161e-10,8.7468e-09,-16777216,16777216,1.0085e+11,1.1913e+11,3.4809e+10,62.945,2.5479e+11
